#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment_evidence" name="distribution" x="@birthRate.t:true_alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:true_alignment_evidence" name="distribution">
#            <parameter id="kappa.s:true_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_evidence" id="treeLikelihood.true_alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_evidence">
#            <siteModel id="SiteModel.s:true_alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:true_alignment_evidence" kappa="@kappa.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
18	-6299.668496278843	-6303.9973475179395	-6299.668496278843	-4.328851239096464	-6299.668496278843	0.9679231767641977	0.8087997448753738	0.2631760100356337	0.2674804151507269	0.29506376808408974	0.17427980672954976	-2.928752806110044	1.131840382374586
19	-6296.211124034064	-6299.927980506492	-6296.211124034064	-3.716856472428186	-6296.211124034064	0.7495815314143252	0.8791079427355126	0.2611109770070225	0.2667388082746463	0.30084209983941596	0.1713081148789153	-2.295846975037937	1.1746452560052931
20	-6295.193281294328	-6298.626598349318	-6295.193281294328	-3.4333170549902827	-6295.193281294328	0.798527135903475	0.9468496281259492	0.261518381035387	0.26566440144485987	0.2980709842109926	0.17474623330876068	-1.9899418704958827	1.5803006992805864
21	-6289.816018079792	-6294.188120801259	-6289.816018079792	-4.372102721466637	-6289.816018079792	0.8624573427482066	0.9530036871169311	0.2574981449548477	0.26497690062230195	0.3027787211140898	0.17474623330876068	-2.926608299804849	2.875595451462092
22	-6287.413088922366	-6291.856551732989	-6287.413088922366	-4.443462810622778	-6287.413088922366	0.8217046179834608	0.605222827685491	0.26772206080752914	0.26804199871882206	0.2867424448633622	0.17749349561028674	-3.0814655782177556	2.964117143040567
23	-6282.075042994791	-6285.1670637593315	-6282.075042994791	-3.0920207645400604	-6282.075042994791	0.7286612265405259	1.166436485018967	0.24176257509371624	0.26926020106248755	0.2906300923096163	0.19834713153418004	-1.5669309457353031	2.299599420953375
24	-6279.581117896974	-6284.408030460501	-6279.581117896974	-4.826912563527099	-6279.581117896974	1.0365416523872617	1.2523063077090697	0.22854658595210617	0.2752745645712007	0.28792618984873497	0.2082526596279583	-3.2676370826261194	1.8444776570201464
25	-6270.5175742318315	-6274.056866720456	-6270.5175742318315	-3.5392924886242403	-6270.5175742318315	0.6945274769970695	1.1484996373428165	0.22836668303705773	0.2725089706937761	0.27203717406385713	0.22708717220530922	-2.0212316319175914	3.532506698752243
26	-6263.81856962426	-6268.348025127783	-6263.81856962426	-4.529455503523058	-6263.81856962426	0.9547395839363821	1.1537712269876943	0.23881450521451747	0.2679745618608855	0.2562162799551668	0.23699465296943034	-3.009333526801472	2.587578961729863
27	-6254.395656806101	-6258.520411096306	-6254.395656806101	-4.124754290205079	-6254.395656806101	1.0712028666568143	1.0245331100980517	0.23068266014613684	0.2702982108829983	0.25806025576158736	0.24095887320927759	-2.6537589049609407	1.2521990504043703
28	-6243.758943179826	-6248.266272821404	-6243.758943179826	-4.5073296415775275	-6243.758943179826	0.8063209871252269	1.0062329847486606	0.2383124985775903	0.2601017876691637	0.26171521332660186	0.2398705004266442	-3.042998291660623	0.9088264204326113
29	-6235.718279795845	-6238.955032954219	-6235.718279795845	-3.2367531583742006	-6235.718279795845	0.799402898322909	0.7558688520728222	0.2450775156067276	0.2438854394857867	0.24537373581344749	0.26566330909403824	-1.8503627106230203	1.7198978160778589
30	-6234.222034286173	-6237.782299157281	-6234.222034286173	-3.560264871108359	-6234.222034286173	0.7743524942808828	0.6230929035695396	0.24831348230158662	0.23342386683189967	0.25119905828944816	0.26706359257706563	-2.196872922111739	1.293213662865824
31	-6233.986392144756	-6237.975849485705	-6233.986392144756	-3.9894573409488556	-6233.986392144756	0.8999835562991734	0.8431218027648679	0.24831348230158662	0.231605029747545	0.2511971863287589	0.2688843016221096	-2.579488857429662	1.4749933270882523
32	-6229.488444913846	-6233.390947782372	-6229.488444913846	-3.902502868525546	-6229.488444913846	0.9176248528891334	0.6231322046995048	0.2497202423953698	0.235270151785072	0.2515590191894914	0.26345058663006693	-2.5391073078834694	2.0602468261199753
33	-6229.360534828585	-6233.873740640211	-6229.360534828585	-4.513205811625942	-6229.360534828585	0.8937704854190797	0.9847232464146983	0.25700247003283805	0.22798792414760372	0.24480404648754162	0.27020555933201673	-3.056589961015382	2.8961265446545257
34	-6228.39001880778	-6232.909324696821	-6228.39001880778	-4.519305889041741	-6228.39001880778	0.8742181788234479	0.7624702650326186	0.2537961297075552	0.2224240547714537	0.2510892562354662	0.27269055928552505	-3.131318448981669	0.8923694385006177
35	-6226.140294239024	-6230.101722231448	-6226.140294239024	-3.9614279924237303	-6226.140294239024	0.9373478070259887	0.7624702650326186	0.25403804859574514	0.22527676539515717	0.25460945452197237	0.2660757314871255	-2.5734405523636585	2.1794774899407545
36	-6225.744069541896	-6229.692930855629	-6225.744069541896	-3.948861313732932	-6225.744069541896	0.9156986303345557	0.7624702650326186	0.2558431290005603	0.2250124751336822	0.2550289983903315	0.26411539747542623	-2.5608738736728602	1.2790979850734991
37	-6224.555172178437	-6228.084199621769	-6224.555172178437	-3.5290274433321125	-6224.555172178437	0.8473144077623249	0.8757896799004814	0.2513404145067258	0.2196507344705929	0.26489345354725524	0.26411539747542623	-2.1090629391095694	1.6455767201555258
38	-6224.5067504196195	-6229.157798885755	-6224.5067504196195	-4.651048466136103	-6224.5067504196195	0.8458848632962622	0.8757896799004814	0.2513404145067258	0.2196507344705929	0.26912658188272487	0.2598822691399566	-3.23108396191356	3.3481672699483065
39	-6223.761566508204	-6227.365958463296	-6223.761566508204	-3.604391955091828	-6223.761566508204	0.8769037665585215	0.9435482658560298	0.26111150186776716	0.22792418152639163	0.2608199518590919	0.2501443647467495	-2.1621481801804343	1.900505408286115
40	-6223.5560122557945	-6228.069777713717	-6223.5560122557945	-4.513765457921947	-6223.5560122557945	0.8695919820847506	0.9435482658560298	0.26111150186776716	0.23082326154718305	0.2579208718383005	0.2501443647467495	-3.0715216830105527	2.9821760315714854
41	-6222.640131928881	-6226.872957990431	-6222.640131928881	-4.232826061550145	-6222.640131928881	0.9610996068346837	0.9435482658560298	0.2519485345812406	0.23217891063837265	0.2610199631645145	0.2548525916158724	-2.790582286638751	2.4139680426503354
42	-6221.397216906546	-6225.278004946763	-6221.397216906546	-3.880788040216714	-6221.397216906546	0.880173307643094	0.9435482658560298	0.24793451135485728	0.24165224801147508	0.2590608845922312	0.2513523560414366	-2.43854426530532	1.2571059415205894
43	-6221.182550235383	-6225.207236194859	-6221.182550235383	-4.0246859594764075	-6221.182550235383	0.8912780112692847	0.9435482658560298	0.2508528506167224	0.23653089148547637	0.26249412982214	0.25012212807566137	-2.5824421845650134	2.4626986802915423
44	-6221.140902646635	-6226.793183395034	-6221.140902646635	-5.6522807483992334	-6221.140902646635	0.8983244681098467	0.9435482658560298	0.2508528506167224	0.23653089148547637	0.2580094552690141	0.25460680262878727	-4.21003697348784	3.743532905341199
45	-6221.108049103537	-6224.9440120227355	-6221.108049103537	-3.8359629191983795	-6221.108049103537	0.8983185617682659	0.9435482658560298	0.246709474370463	0.23787798428625914	0.2610677754321231	0.25434476591115485	-2.393719144286986	2.195785463686897
46	-6221.080361306198	-6225.056676493115	-6221.080361306198	-3.9763151869174296	-6221.080361306198	0.8990272785155646	0.9435482658560298	0.246709474370463	0.23879797885625598	0.26139639402905085	0.2530961527442303	-2.534071412006036	1.220536617756702
47	-6221.078803509707	-6224.954118976333	-6221.078803509707	-3.875315466626724	-6221.078803509707	0.9000984885018358	0.9435482658560298	0.2458041423039514	0.23879797885625598	0.26230172609556246	0.2530961527442303	-2.4330716917153303	1.303414961053996
48	-6221.068454735978	-6226.362046361009	-6221.068454735978	-5.293591625030783	-6221.068454735978	0.8834202856791814	0.9435482658560298	0.24688060945831244	0.23767473830752808	0.26230172609556246	0.2531429261385971	-3.851347850119389	3.578682087684253
49	-6221.017458755794	-6225.0598582656285	-6221.017458755794	-4.04239950983482	-6221.017458755794	0.8845587798711423	0.7939344453658207	0.24880472911364848	0.24092418855530998	0.2571281561924445	0.2531429261385971	-2.6463497760474253	1.115535726751176
50	-6221.011550629909	-6225.501197052605	-6221.011550629909	-4.489646422695838	-6221.011550629909	0.902549848299749	0.7939344453658207	0.24958095742926067	0.24092418855530998	0.2608351454823483	0.2486597085330811	-3.0935966889084434	2.9200357459211848
51	-6220.866907163201	-6224.586111543171	-6220.866907163201	-3.719204379969418	-6220.866907163201	0.8878635948270418	0.8789319790475104	0.24296395100676021	0.2406721544395794	0.2628702678759857	0.2534936266776748	-2.2982504276865354	1.435649736601446
52	-6220.861520947462	-6224.9795994944125	-6220.861520947462	-4.118078546950572	-6220.861520947462	0.9108287673073391	0.8730932137315142	0.24813034820109853	0.2406721544395794	0.2628702678759857	0.24832722948333646	-2.698959364209882	1.1333049093999807
53	-6220.764984133623	-6224.806471219082	-6220.764984133623	-4.041487085458694	-6220.764984133623	0.8842871462777177	0.8730932137315142	0.24813034820109853	0.2406721544395794	0.2628702678759857	0.24832722948333646	-2.6223679027180054	2.5358071935390627
54	-6220.672520208371	-6224.434706996347	-6220.672520208371	-3.762186787976175	-6220.672520208371	0.8715239645952142	0.8730932137315142	0.2516500004331265	0.23784299872396128	0.2593506156439577	0.2511563851989546	-2.3430676052354853	2.2630531228844357
55	-6220.648683527537	-6224.496916229155	-6220.648683527537	-3.848232701618418	-6220.648683527537	0.9000728336717293	0.8730932137315142	0.2516500004331265	0.23784299872396128	0.2593506156439577	0.2511563851989546	-2.4291135188777284	1.3095393331921836
56	-6220.648390523744	-6224.447326079314	-6220.648390523744	-3.7989355555704476	-6220.648390523744	0.886910891527134	0.8730932137315142	0.2481301616460821	0.24136290796970564	0.2610987807298222	0.24940814965439023	-2.379816372829758	2.263665599957204
57	-6220.616703537295	-6224.896916926805	-6220.616703537295	-4.280213389510164	-6220.616703537295	0.8769860722368922	0.8730932137315142	0.2481301616460821	0.23914898460804748	0.2610987807298222	0.2516220730160484	-2.8610942067694745	0.9904063091777893
58	-6220.615551388145	-6226.362013394195	-6220.615551388145	-5.7464620060496925	-6220.615551388145	0.8828207638883173	0.8730932137315142	0.2481301616460821	0.23914898460804748	0.2610987807298222	0.2516220730160484	-4.327342823309003	3.906896670337279
