#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment_evidence" name="distribution" x="@birthRate.t:true_alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:true_alignment_evidence" name="distribution">
#            <parameter id="kappa.s:true_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_evidence" id="treeLikelihood.true_alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_evidence">
#            <siteModel id="SiteModel.s:true_alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:true_alignment_evidence" kappa="@kappa.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:true_alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-15085.067934445102	-15067.922908477292	-15085.067934445102	17.145025967810163	-15085.067934445102	0.009817664226562283	3.554729110127182	0.2526678445081563	0.2576030193787874	0.25467452614102376	0.23505460997203254	19.57841844806416	263.45561926011317
1	-10440.185110451066	-10436.436834543778	-10440.185110451066	3.7482759072883427	-10440.185110451066	0.07088719625349384	2.39716207987756	0.24026097281215572	0.2652753220343892	0.25942449673655654	0.23503920841689857	5.769700880431225	34.063953820894696
2	-9936.980644115547	-9931.047169863667	-9936.980644115547	5.93347425188104	-9936.980644115547	0.09286906965497053	1.3138239574731851	0.23045138197805587	0.2660222353145858	0.26364281285829383	0.23988356984906448	7.5176545697968145	27.807149254503358
3	-9806.95625075117	-9802.203215400961	-9806.95625075117	4.753035350208275	-9806.95625075117	0.10486976470696958	1.5740672391177113	0.23605276250791865	0.26349255890142825	0.26855978064528674	0.23189489794536636	6.444295266314571	6.659034115706039
4	-9650.892631203988	-9649.463777373923	-9650.892631203988	1.4288538300640252	-9650.892631203988	0.29750930890609983	0.6073215030683866	0.2468184933379048	0.24111339829940068	0.28532065014612296	0.22674745821657155	2.790988579145546	7.927287471619415
5	-7909.337737257459	-7915.721911894695	-7909.337737257459	-6.384174637236303	-7909.337737257459	1.2401591712991697	1.8180057811533061	0.2523615394222184	0.23308599010587625	0.2814491691315457	0.23310330134035967	-4.592572227816853	2.213972879181635
6	-7671.558840251037	-7679.881462583626	-7671.558840251037	-8.322622332589475	-7671.558840251037	1.6661415633742465	3.142316022861598	0.2469145473489087	0.24134936507268956	0.273435965532779	0.2383001220456228	-6.028855833960314	0.7317997924782625
7	-7472.293351355761	-7477.267549151505	-7472.293351355761	-4.974197795743664	-7472.293351355761	0.4646674094475146	8.857085694510156	0.2475212622372356	0.23720805355081923	0.2798483345234648	0.23542234968848041	-1.2044097854840663	5.665414839343286
8	-7389.321745396387	-7392.233225761528	-7389.321745396387	-2.911480365140689	-7389.321745396387	0.5669813549297695	1.6870967539901625	0.25311249415731574	0.23053513421312555	0.2868860233645983	0.22946634826496043	-1.1735826407039869	4.546587417312204
9	-7340.568934241283	-7344.932501498346	-7340.568934241283	-4.363567257062896	-7340.568934241283	1.1389669359923438	1.1902401026580725	0.272715142966625	0.23433438438990958	0.2626924283251923	0.23025804431827307	-2.82908375873357	2.0537558844085977
10	-6832.473807695334	-6834.606656047965	-6832.473807695334	-2.132848352631296	-6832.473807695334	0.48491583507058145	1.3489735172905581	0.2898232218241147	0.22946553712123519	0.25240659808694893	0.2283046429677012	-0.5343282723725946	3.7698741235767743
11	-6650.58644562265	-6653.54491975662	-6650.58644562265	-2.9584741339703395	-6650.58644562265	0.7343471303542868	0.9148309689692572	0.29634917952460177	0.24462870925446564	0.23816341975621427	0.22085869146471832	-1.5259021671425432	1.672251143835963
12	-6604.87933833341	-6612.2872034889215	-6604.87933833341	-7.407865155511559	-6604.87933833341	0.6955224504052024	1.0967908654594105	0.2823371619162152	0.2484936090689378	0.2427332653013487	0.22643596371349833	-5.9097917990648225	5.933890203688702
13	-6447.743879053659	-6452.566170801251	-6447.743879053659	-4.822291747592603	-6447.743879053659	0.8664879505695724	1.496231682997641	0.2771867473903033	0.26249620458407097	0.2628599114398764	0.19745713658574945	-3.1631898414731454	0.9824275298454993
14	-6427.683368508454	-6434.340978088455	-6427.683368508454	-6.6576095800013375	-6427.683368508454	1.6627221644722663	1.0365468797419068	0.26589357599937236	0.27074409942282174	0.26747083042192676	0.19589149415587925	-5.182193036820735	1.1051199383611143
15	-6349.58063901879	-6354.868882238544	-6349.58063901879	-5.288243219754327	-6349.58063901879	0.8916101293336647	0.3193025162866525	0.2651490774173988	0.26164440913039577	0.2747971024631639	0.1984094109890416	-3.820090915276699	3.5475870017335063
16	-6317.450596898756	-6322.944003869106	-6317.450596898756	-5.493406970350702	-6317.450596898756	1.6499940522210388	0.63304770816684	0.25245389269926655	0.2827732860380505	0.27792965137639836	0.18684316988628463	-4.129027336642433	1.3878174129077931
17	-6305.262323648831	-6309.1956068415075	-6305.262323648831	-3.9332831926765897	-6305.262323648831	0.940392097638442	0.63304770816684	0.240170509403359	0.2879796568633006	0.2940942262269561	0.17775560750638436	-2.5689035589683202	1.7627726487360937
