Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	CoalescentExponential	ePopSize	growthRate	
0	-6234.480882508738	-6229.231467970467	-5.249414538271246	-6229.231467970467	0.8009162217211392	0.9348923074780122	0.26528282578293133	0.23722037273606472	0.2527497486459025	0.24474705283510154	-2.721639893513112	0.7605184919933061	0.6690864445298861	
1	-6234.480882508738	-6229.231467970467	-5.249414538271246	-6229.231467970467	0.8009162217211392	0.9348923074780122	0.26528282578293133	0.23722037273606472	0.2527497486459025	0.24474705283510154	-2.721639893513112	0.7605184919933061	0.6690864445298861	
2	-6234.480882508738	-6229.231467970467	-5.249414538271246	-6229.231467970467	0.8009162217211392	0.9348923074780122	0.26528282578293133	0.23722037273606472	0.2527497486459025	0.24474705283510154	-2.721639893513112	0.7605184919933061	0.6690864445298861	
3	-6233.609980819249	-6226.914814737727	-6.695166081521955	-6226.914814737727	0.8508257325753893	0.8612086762649086	0.24897556211735242	0.24992814811793693	0.25682690208482556	0.24426938767988518	-2.653807967220713	1.3167613648600691	1.6575999985319423	
4	-6231.3453266125925	-6226.327450893846	-5.0178757187469465	-6226.327450893846	0.8087995504628437	0.8704017016475505	0.2464451802600751	0.24625162258734035	0.24753715633545453	0.2597660408171301	-3.1162863197326276	0.7882966098773607	0.028044166056295783	
5	-6231.3453266125925	-6226.327450893846	-5.0178757187469465	-6226.327450893846	0.8087995504628437	0.8704017016475505	0.2464451802600751	0.24625162258734035	0.24753715633545453	0.2597660408171301	-3.1162863197326276	0.7882966098773607	0.028044166056295783	
6	-6231.3453266125925	-6226.327450893846	-5.0178757187469465	-6226.327450893846	0.8087995504628437	0.8704017016475505	0.2464451802600751	0.24625162258734035	0.24753715633545453	0.2597660408171301	-3.1162863197326276	0.7882966098773607	0.028044166056295783	
7	-6231.31387749595	-6225.880273196416	-5.4336042995340605	-6225.880273196416	1.0207274631445429	0.7687962728005454	0.25397060254971476	0.23697109735473496	0.2526874751156539	0.2563708249798965	-3.6490874788173127	0.6533213149988929	0.12750612740265344	
8	-6231.31387749595	-6225.880273196416	-5.4336042995340605	-6225.880273196416	1.0207274631445429	0.7687962728005454	0.25397060254971476	0.23697109735473496	0.2526874751156539	0.2563708249798965	-3.6490874788173127	0.6533213149988929	0.12750612740265344	
